ID,createdAt,createdBy,modifiedAt,modifiedBy,employeeNumber,firstName,lastName,email,department,jobTitle,plant_ID,manager_ID,active
91e632eb-67bf-5d38-a8b5-8e84d43dd62b,2025-02-22T08:00:00Z,system,2025-02-22T08:00:00Z,system,E000001,Lukas,Hoffmann,lukas.hoffmann1@procureflow.example,Procurement,Procurement Manager,87cb6569-bd40-5e24-8586-da21fbea3a81,,True
2cd38cf3-5347-5c8e-9bec-7cbfde8bcfb8,2025-02-23T08:00:00Z,system,2025-02-23T08:00:00Z,system,E000002,Sarah,Hoffmann,sarah.hoffmann2@procureflow.example,Procurement,Senior Buyer,329ee744-d62e-5fc4-a06d-cd6019444aa8,,True
78f316cf-bc76-5bab-9068-b36833d8b019,2025-02-24T08:00:00Z,system,2025-02-24T08:00:00Z,system,E000003,Nina,Koch,nina.koch3@procureflow.example,Strategic Sourcing,Procurement Manager,e6d386f5-8b03-578e-aca0-68c8e68a10d1,,True
d925509d-9c4c-55ac-990d-b19752aa437c,2025-02-25T08:00:00Z,system,2025-02-25T08:00:00Z,system,E000004,Martin,Novak,martin.novak4@procureflow.example,Quality Management,Quality Specialist,cb89079f-b137-594d-b7f6-f3803900b013,,True
4deefa0a-1e41-5a72-a113-c2b82a9ea70b,2025-02-26T08:00:00Z,system,2025-02-26T08:00:00Z,system,E000005,Maria,Brown,maria.brown5@procureflow.example,Warehouse,Warehouse Clerk,34b80a58-c167-5ea6-9b2c-d151aa2ea5a3,,True
0a9b9cf2-8c50-54fd-b243-53899f77bb55,2025-02-27T08:00:00Z,system,2025-02-27T08:00:00Z,system,E000006,Stefan,Fischer,stefan.fischer6@procureflow.example,Procurement,Procurement Specialist,78e17b4f-64d9-5a1f-8e02-e8a798b67ff0,,True
0737d81c-800f-585f-8a81-5742f5aa93a6,2025-02-28T08:00:00Z,system,2025-02-28T08:00:00Z,system,E000007,Lukas,Andersson,lukas.andersson7@procureflow.example,Supply Chain,Supply Chain Analyst,9f6bd345-59f3-56b7-b1b4-8a3e5fab6656,,True
c7e3e4e0-4eb0-57ed-973a-248aa1d4166f,2025-03-01T08:00:00Z,system,2025-03-01T08:00:00Z,system,E000008,Carlos,Kowalski,carlos.kowalski8@procureflow.example,Strategic Sourcing,Category Manager,113d871c-fdd0-59b0-922b-71a1f17a7a5b,,True
8758fdc7-b73d-58da-9847-91a91303126e,2025-03-02T08:00:00Z,system,2025-03-02T08:00:00Z,system,E000009,Lucie,Brown,lucie.brown9@procureflow.example,Procurement,Procurement Specialist,283bb6f3-df62-5cb4-9d4b-a62afcbbb11d,91e632eb-67bf-5d38-a8b5-8e84d43dd62b,True
4d8f6fc4-cd1e-5487-b09f-9668e6b5c3b6,2025-03-03T08:00:00Z,system,2025-03-03T08:00:00Z,system,E000010,Sofia,Richter,sofia.richter10@procureflow.example,Operations,Operations Coordinator,e294ac9d-bd77-5078-ba31-f74bebb60488,2cd38cf3-5347-5c8e-9bec-7cbfde8bcfb8,True
784d909a-03fe-5442-985a-f87c223ba14e,2025-03-04T08:00:00Z,system,2025-03-04T08:00:00Z,system,E000011,Charlotte,Weber,charlotte.weber11@procureflow.example,Finance,Procurement Controller,521489a3-799d-50a5-9448-eeaa409714d1,78f316cf-bc76-5bab-9068-b36833d8b019,True
e662820d-e3c6-5611-bb97-4b7844a2920f,2025-03-05T08:00:00Z,system,2025-03-05T08:00:00Z,system,E000012,Jonas,Meyer,jonas.meyer12@procureflow.example,Quality Management,Quality Specialist,5528724a-ec45-5c0d-ac18-8666390c638c,d925509d-9c4c-55ac-990d-b19752aa437c,True
bf01dabf-7f6b-5183-895b-36a5584e7d8d,2025-03-06T08:00:00Z,system,2025-03-06T08:00:00Z,system,E000013,Lukas,Bianchi,lukas.bianchi13@procureflow.example,Strategic Sourcing,Procurement Manager,51ca2c43-9865-5eed-88e1-7efd0be651e9,4deefa0a-1e41-5a72-a113-c2b82a9ea70b,True
a3376a3d-c7f1-544e-97d1-f19074988bc2,2025-03-07T08:00:00Z,system,2025-03-07T08:00:00Z,system,E000014,Jonas,Brown,jonas.brown14@procureflow.example,Operations,Operations Coordinator,3cab26fd-f62f-5970-ad42-c321a067cf36,0a9b9cf2-8c50-54fd-b243-53899f77bb55,True
9e1c4686-2f34-5912-ad37-81df9a7a3278,2025-03-08T08:00:00Z,system,2025-03-08T08:00:00Z,system,E000015,Sophie,Wolf,sophie.wolf15@procureflow.example,Procurement,Procurement Manager,efd8a8e4-0bb8-5f9e-be95-16451417acb0,0737d81c-800f-585f-8a81-5742f5aa93a6,True
43022d67-1e7e-5424-9987-98f2d73d0810,2025-03-09T08:00:00Z,system,2025-03-09T08:00:00Z,system,E000016,Jan,Taylor,jan.taylor16@procureflow.example,Operations,Operations Coordinator,d425a94e-8ac6-50ba-81e4-27a328a21379,c7e3e4e0-4eb0-57ed-973a-248aa1d4166f,True
e5f6eca5-efd9-5b50-b3e2-8885e65c411d,2025-03-10T08:00:00Z,system,2025-03-10T08:00:00Z,system,E000017,Piotr,Klein,piotr.klein17@procureflow.example,Operations,Operations Coordinator,89693957-df41-5038-b06b-8fcd13674f65,91e632eb-67bf-5d38-a8b5-8e84d43dd62b,True
7a782c7d-e7b1-562f-b8fa-653d0bcf3fab,2025-03-11T08:00:00Z,system,2025-03-11T08:00:00Z,system,E000018,Marta,Meyer,marta.meyer18@procureflow.example,Operations,Operations Coordinator,5b8df29c-4f7d-5b45-b24c-0b5a197ae2b0,2cd38cf3-5347-5c8e-9bec-7cbfde8bcfb8,True
56087fe0-dc48-50ce-a150-f8defa744374,2025-03-12T08:00:00Z,system,2025-03-12T08:00:00Z,system,E000019,Andreas,Taylor,andreas.taylor19@procureflow.example,Supply Chain,Supply Chain Analyst,26221d5e-2e66-5ea9-8c4d-30720ed59583,78f316cf-bc76-5bab-9068-b36833d8b019,True
ef2ba588-e5f9-591f-9a01-16a28aec4a68,2025-03-13T08:00:00Z,system,2025-03-13T08:00:00Z,system,E000020,Charlotte,Bauer,charlotte.bauer20@procureflow.example,Procurement,Category Manager,681d3a1f-6166-5793-8dd0-2f9ae8a7e909,d925509d-9c4c-55ac-990d-b19752aa437c,True
7d98d770-399c-55fd-8a60-51d4eb644920,2025-03-14T08:00:00Z,system,2025-03-14T08:00:00Z,system,E000021,David,Wolf,david.wolf21@procureflow.example,Operations,Operations Coordinator,3e8df789-1fad-5f45-9e4e-ae08a2240191,4deefa0a-1e41-5a72-a113-c2b82a9ea70b,True
ed77b70d-2e2b-5e0f-926d-7d5913ba9acd,2025-03-15T08:00:00Z,system,2025-03-15T08:00:00Z,system,E000022,Thomas,Novak,thomas.novak22@procureflow.example,Quality Management,Quality Specialist,0450cf2b-52b5-5c7a-95b0-bbdc67bca724,0a9b9cf2-8c50-54fd-b243-53899f77bb55,True
95f6a497-057c-520f-982f-8724d95bc2f7,2025-03-16T08:00:00Z,system,2025-03-16T08:00:00Z,system,E000023,Marco,Wolf,marco.wolf23@procureflow.example,Supply Chain,Supply Chain Analyst,03aef187-5272-56c7-bfc4-cf8b61ecf06b,0737d81c-800f-585f-8a81-5742f5aa93a6,True
0255ba35-0950-5277-a59b-8411b6134ea7,2025-03-17T08:00:00Z,system,2025-03-17T08:00:00Z,system,E000024,Sophie,Richter,sophie.richter24@procureflow.example,Warehouse,Warehouse Clerk,12473360-94f1-5fba-a391-36ce9d7f31be,c7e3e4e0-4eb0-57ed-973a-248aa1d4166f,True
d14b0728-f72c-5fc0-a4ba-8ff48ceaa3cc,2025-03-18T08:00:00Z,system,2025-03-18T08:00:00Z,system,E000025,Thomas,Jensen,thomas.jensen25@procureflow.example,Finance,Procurement Controller,261d0783-3954-5ee6-baf2-f9e37bbb725b,91e632eb-67bf-5d38-a8b5-8e84d43dd62b,True
605855ea-5571-58a5-9ec3-f66b7ecc340e,2025-03-19T08:00:00Z,system,2025-03-19T08:00:00Z,system,E000026,Marta,Hoffmann,marta.hoffmann26@procureflow.example,Operations,Operations Coordinator,87cb6569-bd40-5e24-8586-da21fbea3a81,2cd38cf3-5347-5c8e-9bec-7cbfde8bcfb8,True
30b1e0cc-485f-52e5-bea8-33b1020594c2,2025-03-20T08:00:00Z,system,2025-03-20T08:00:00Z,system,E000027,Jonas,Johnson,jonas.johnson27@procureflow.example,Finance,Procurement Controller,329ee744-d62e-5fc4-a06d-cd6019444aa8,78f316cf-bc76-5bab-9068-b36833d8b019,True
e1c1d5bd-6452-5e7c-9911-1b5d499df0eb,2025-03-21T08:00:00Z,system,2025-03-21T08:00:00Z,system,E000028,Thomas,Fischer,thomas.fischer28@procureflow.example,Procurement,Buyer,e6d386f5-8b03-578e-aca0-68c8e68a10d1,d925509d-9c4c-55ac-990d-b19752aa437c,True
b519a3ff-3161-5685-8e6b-9063483eb30b,2025-03-22T08:00:00Z,system,2025-03-22T08:00:00Z,system,E000029,Lukas,Becker,lukas.becker29@procureflow.example,Strategic Sourcing,Procurement Specialist,cb89079f-b137-594d-b7f6-f3803900b013,4deefa0a-1e41-5a72-a113-c2b82a9ea70b,True
88db520f-00d6-51aa-8b62-c7a88dd50f4c,2025-03-23T08:00:00Z,system,2025-03-23T08:00:00Z,system,E000030,Laura,Richter,laura.richter30@procureflow.example,Strategic Sourcing,Procurement Manager,34b80a58-c167-5ea6-9b2c-d151aa2ea5a3,0a9b9cf2-8c50-54fd-b243-53899f77bb55,True
4e5e44a7-230a-5238-af8a-6363cf5be42b,2025-03-24T08:00:00Z,system,2025-03-24T08:00:00Z,system,E000031,Grace,Hoffmann,grace.hoffmann31@procureflow.example,Strategic Sourcing,Senior Buyer,78e17b4f-64d9-5a1f-8e02-e8a798b67ff0,0737d81c-800f-585f-8a81-5742f5aa93a6,True
